datetime,turbidityNTU,SpC_mScm,TempC_flow,Stage_m_pt,TempC_pool
2020-04-12T00:15:00Z,0,25.87,9.3,0.35743482,9.32
2020-04-12T00:30:00Z,0,25.86,9.29,0.35247602,9.31
2020-04-12T00:45:00Z,0,25.87,9.28,0.356398872,9.3
2020-04-12T01:00:00Z,0,25.87,9.27,0.35743482,9.29
2020-04-12T01:15:00Z,0,25.87,9.24,0.351440072,9.29
2020-04-12T01:30:00Z,0,25.89,9.22,0.35247602,9.27
2020-04-12T01:45:00Z,0,25.89,9.18,0.353166652,9.24
2020-04-12T02:00:00Z,0,25.88,9.15,0.353166652,9.22
2020-04-12T02:15:00Z,0,25.87,9.13,0.3542026,9.19
2020-04-12T02:30:00Z,0,25.88,9.1,0.353166652,9.16
2020-04-12T02:45:00Z,0,25.85,9.09,0.353166652,9.14
2020-04-12T03:00:00Z,0,25.87,9.08,0.356274496,9.13
2020-04-12T03:15:00Z,0,25.86,9.08,0.355238548,9.11
2020-04-12T03:30:00Z,0,25.88,9.07,0.35247602,9.1
2020-04-12T03:45:00Z,0,25.88,9.06,0.350404124,9.09
2020-04-12T04:00:00Z,0,25.87,9.05,0.3542026,9.07
2020-04-12T04:15:00Z,0,25.88,9.03,0.351440072,9.07
2020-04-12T04:30:00Z,0,25.89,9.01,0.355238548,9.05
2020-04-12T04:45:00Z,0,25.87,9,0.35247602,9.04
2020-04-12T05:00:00Z,0,25.86,8.98,0.356398872,9.02
2020-04-12T05:15:00Z,0,25.87,8.96,0.355362924,9.01
2020-04-12T05:30:00Z,0,25.87,8.94,0.351440072,8.99
2020-04-12T05:45:00Z,0,25.88,8.92,0.354326976,8.97
2020-04-12T06:00:00Z,0,25.87,8.9,0.35225508,8.95
2020-04-12T06:15:00Z,0,25.87,8.87,0.353291028,8.93
2020-04-12T06:30:00Z,0,25.88,8.86,0.354326976,8.91
2020-04-12T06:45:00Z,0,25.87,8.84,0.349147236,8.89
2020-04-12T07:00:00Z,0,25.86,8.83,0.351219132,8.87
2020-04-12T07:15:00Z,0,25.87,8.82,0.350183184,8.85
2020-04-12T07:30:00Z,0,25.89,8.81,0.354106036,8.84
2020-04-12T07:45:00Z,0,25.87,8.82,0.349962244,8.83
2020-04-12T08:00:00Z,0,25.87,8.83,0.353885096,8.83
2020-04-12T08:15:00Z,0,25.85,8.86,0.352849148,8.84
2020-04-12T08:45:00Z,0,25.87,8.92,0.352849148,8.87
2020-04-12T09:00:00Z,0,25.86,8.98,0.347890348,8.89
2020-04-12T09:15:00Z,0,25.84,9.03,0.349050672,8.92
2020-04-12T09:45:00Z,0,25.8,9.15,0.352973523,9
2020-04-12T10:00:00Z,0,25.8,9.21,0.352973523,9.05
2020-04-12T10:15:00Z,0,25.8,9.27,0.350901627,9.1
2020-04-12T10:30:00Z,0,25.77,9.33,0.350901627,9.15
2020-04-12T10:45:00Z,0,25.75,9.38,0.354009471,9.2
2020-04-12T11:00:00Z,0,25.75,9.46,0.35008662,9.26
2020-04-12T11:15:00Z,0,25.76,9.58,0.35008662,9.32
2020-04-12T11:30:00Z,0,25.75,9.64,0.35008662,9.39
2020-04-12T11:45:00Z,0,25.75,9.71,0.354921044,9.47
2020-04-12T12:00:00Z,0,25.75,9.78,0.350998192,9.54
2020-04-12T12:15:00Z,0,25.76,9.86,0.353070088,9.6
2020-04-12T12:30:00Z,0,25.77,9.9,0.3468544,9.67
2020-04-12T12:45:00Z,0,25.78,9.93,0.350998192,9.73
2020-04-12T13:00:00Z,0,25.77,9.98,0.348111288,9.78
2020-04-12T13:15:00Z,0,25.78,10.03,0.35225508,9.83
2020-04-12T13:30:00Z,0,25.79,10.07,0.34729628,9.88
2020-04-12T13:45:00Z,0,25.8,10.08,0.348332228,9.92
2020-04-12T14:00:00Z,0,25.81,10.1,0.34729628,9.96
2020-04-12T14:15:00Z,0,25.82,10.15,0.348332228,9.99
2020-04-12T14:30:00Z,0,25.86,10.17,0.349368176,10.03
2020-04-12T14:45:00Z,0,25.87,10.19,0.344409376,10.05
2020-04-12T15:00:00Z,0,25.89,10.23,0.348207852,10.08
2020-04-12T15:15:00Z,0,25.93,10.24,0.351440072,10.11
2020-04-12T15:30:00Z,0,25.95,10.25,0.35247602,10.14
2020-04-12T15:45:00Z,0,25.97,10.26,0.353166652,10.16
2020-04-12T16:00:00Z,0,25.97,10.29,0.353387592,10.17
2020-04-12T16:15:00Z,0,25.96,10.31,0.3492438,10.19
